Market,Channel,Region,Category,SubCategory,Brand,Variant,PackType,PPG,PackSize,Year,Month,Week,date,BrCatId,SalesValue,Volume,VolumeUnits,D1,D2,D3,D4,D5,D6,AV1,AV2,AV3,AV4,AV5,AV6,EV1,EV2,EV3,EV4,EV5,EV6,
Market 1,Convenience,AllRegion,Beans,AllSubCategory,Brand 1,Flavoured,AllPackType,Standard Single,AllPackSize,2021,5,19,08-05-2021,Brand,2146.786116,761.33956,1873.727057,14.43687448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Market 1,Convenience,AllRegion,Beans,AllSubCategory,Brand 1,Flavoured,AllPackType,Small Single,AllPackSize,2021,5,20,15-05-2021,Brand,2257.436252,510.3620723,2041.448289,17.14781512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Market 1,Convenience,AllRegion,Beans,AllSubCategory,Brand 1,Flavoured,AllPackType,Standard Single,AllPackSize,2021,5,20,15-05-2021,Brand,2184.237265,776.2976956,1912.678922,14.33797278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Market 1,Convenience,AllRegion,Beans,AllSubCategory,Brand 1,Flavoured,AllPackType,Small Single,AllPackSize,2021,5,21,22-05-2021,Brand,2299.687253,517.621337,2070.485348,18.1231828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Market 1,Convenience,AllRegion,Beans,AllSubCategory,Brand 1,Flavoured,AllPackType,Standard Single,AllPackSize,2021,5,21,22-05-2021,Brand,2086.393094,739.9726352,1825.370469,13.93941186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Market 1,Convenience,AllRegion,Beans,AllSubCategory,Brand 1,Flavoured,AllPackType,Small Single,AllPackSize,2021,5,22,29-05-2021,Brand,1819.13833,328.9253441,1315.701376,14.09922308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Market 1,Convenience,AllRegion,Beans,AllSubCategory,Brand 1,Flavoured,AllPackType,Standard Single,AllPackSize,2021,5,22,29-05-2021,Brand,2044.341033,725.2747979,1784.230322,14.57616485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Market 1,Convenience,AllRegion,Beans,AllSubCategory,Brand 1,Flavoured,AllPackType,Small Single,AllPackSize,2021,6,23,05-06-2021,Brand,1312.52851,184.3959984,737.5839934,10.05025122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Market 1,Convenience,AllRegion,Beans,AllSubCategory,Brand 1,Flavoured,AllPackType,Standard Single,AllPackSize,2021,6,23,05-06-2021,Brand,1841.353678,653.6699927,1608.760269,14.20529178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Market 1,Convenience,AllRegion,Beans,AllSubCategory,Brand 1,Flavoured,AllPackType,Small Single,AllPackSize,2021,6,24,12-06-2021,Brand,1655.45392,229.2867825,917.14713,12.07710045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Market 1,Convenience,AllRegion,Beans,AllSubCategory,Brand 1,Flavoured,AllPackType,Standard Single,AllPackSize,2021,6,24,12-06-2021,Brand,1859.400061,660.6475204,1625.059564,13.77410319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Market 1,Convenience,AllRegion,Beans,AllSubCategory,Brand 1,Flavoured,AllPackType,Small Single,AllPackSize,2021,6,25,19-06-2021,Brand,1473.368453,203.4286315,813.7145259,11.00874066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Market 1,Convenience,AllRegion,Beans,AllSubCategory,Brand 1,Flavoured,AllPackType,Standard Single,AllPackSize,2021,6,25,19-06-2021,Brand,1993.573094,709.1881117,1745.12899,14.30073499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Market 1,Convenience,AllRegion,Beans,AllSubCategory,Brand 1,Flavoured,AllPackType,Small Single,AllPackSize,2021,6,26,26-06-2021,Brand,1565.561801,215.6745372,862.6981486,11.58825607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Market 1,Convenience,AllRegion,Beans,AllSubCategory,Brand 1,Flavoured,AllPackType,Standard Single,AllPackSize,2021,6,26,26-06-2021,Brand,2093.088552,743.3198528,1830.503244,14.29706561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Market 1,Convenience,AllRegion,Beans,AllSubCategory,Brand 1,Flavoured,AllPackType,Small Single,AllPackSize,2021,7,27,03-07-2021,Brand,1821.896608,261.5356424,1046.14257,12.41642798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Market 1,Convenience,AllRegion,Beans,AllSubCategory,Brand 1,Flavoured,AllPackType,Standard Single,AllPackSize,2021,7,27,03-07-2021,Brand,2243.944822,799.6600851,1968.363141,14.63083868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Market 1,Convenience,AllRegion,Beans,AllSubCategory,Brand 1,Flavoured,AllPackType,Small Single,AllPackSize,2021,7,28,10-07-2021,Brand,1750.59612,256.6661959,1026.664784,12.59469211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Market 1,Convenience,AllRegion,Beans,AllSubCategory,Brand 1,Flavoured,AllPackType,Standard Single,AllPackSize,2021,7,28,10-07-2021,Brand,2052.76852,728.0455494,1788.816105,14.93336683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Market 1,Convenience,AllRegion,Beans,AllSubCategory,Brand 1,Flavoured,AllPackType,Small Single,AllPackSize,2021,7,29,17-07-2021,Brand,2081.429387,403.3432393,1613.372957,15.32804784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Market 1,Convenience,AllRegion,Beans,AllSubCategory,Brand 1,Flavoured,AllPackType,Standard Single,AllPackSize,2021,7,29,17-07-2021,Brand,2092.746144,741.2709177,1823.759344,14.413651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Market 1,Convenience,AllRegion,Beans,AllSubCategory,Brand 1,Flavoured,AllPackType,Small Single,AllPackSize,2021,7,30,24-07-2021,Brand,2376.185606,547.0218793,2188.087517,17.39953645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Market 1,Convenience,AllRegion,Beans,AllSubCategory,Brand 1,Flavoured,AllPackType,Standard Single,AllPackSize,2021,7,30,24-07-2021,Brand,1788.181311,632.4550272,1561.510758,12.44996308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Market 1,Convenience,AllRegion,Beans,AllSubCategory,Brand 1,Flavoured,AllPackType,Small Single,AllPackSize,2021,7,31,31-07-2021,Brand,2631.77558,609.943348,2439.773392,19.09223082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Market 1,Convenience,AllRegion,Beans,AllSubCategory,Brand 1,Flavoured,AllPackType,Standard Single,AllPackSize,2021,7,31,31-07-2021,Brand,2110.567365,744.774069,1839.702457,13.51715262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Market 1,Convenience,AllRegion,Beans,AllSubCategory,Brand 1,Flavoured,AllPackType,Small Single,AllPackSize,2021,8,32,07-08-2021,Brand,1873.164654,331.1787776,1324.71511,15.23721229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Market 1,Convenience,AllRegion,Beans,AllSubCategory,Brand 1,Flavoured,AllPackType,Standard Single,AllPackSize,2021,8,32,07-08-2021,Brand,2377.054364,843.365877,2072.421921,14.78477789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Market 1,Convenience,AllRegion,Beans,AllSubCategory,Brand 1,Flavoured,AllPackType,Small Single,AllPackSize,2021,8,33,14-08-2021,Brand,1741.155501,237.4951431,949.9805723,12.89035596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Market 1,Convenience,AllRegion,Beans,AllSubCategory,Brand 1,Flavoured,AllPackType,Standard Single,AllPackSize,2021,8,33,14-08-2021,Brand,2232.991268,792.8118177,1949.652147,14.8166399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Market 1,Convenience,AllRegion,Beans,AllSubCategory,Brand 1,Flavoured,AllPackType,Small Single,AllPackSize,2021,8,34,21-08-2021,Brand,1769.918289,242.8924235,971.5696938,12.97359339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Market 1,Convenience,AllRegion,Beans,AllSubCategory,Brand 1,Flavoured,AllPackType,Standard Single,AllPackSize,2021,8,34,21-08-2021,Brand,2198.665704,768.9407184,1887.729482,15.14215398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
